"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_4615","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"ASV_4620","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis",NA
"ASV_4621","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"ASV_4623","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Oliveonia",NA
"ASV_4624","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_4626","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_4627","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"ASV_4631","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV_4632","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_4633","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_4634","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","s__subverrucisporus"
"ASV_4638","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA
"ASV_4639","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__kunmingensis"
"ASV_4640","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_4644","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__sorghinum"
"ASV_4645","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Genea","s__amici"
"ASV_4646","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Macrocystidia","s__cucumis"
"ASV_4647","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thelonectria","s__discophora"
"ASV_4650","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_4651","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Favolus","s__subtropicus"
"ASV_4652","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__cryoxerica"
"ASV_4653","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4655","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__sowerbyi"
"ASV_4656","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Pseudorobillarda","s__sojae"
"ASV_4657","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Incrucipulum","s__capitatum"
"ASV_4658","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"ASV_4659","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"ASV_4660","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Homophron","s__spadiceum"
"ASV_4662","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena",NA
"ASV_4663","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Teratosphaeriaceae_gen_Incertae_sedis",NA
"ASV_4666","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4667","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia",NA
"ASV_4668","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"ASV_4669","k__Fungi","p__Olpidiomycota","c__Olpidiomycetes","o__Olpidiales","f__Olpidiaceae","g__Olpidiaceae_gen_Incertae_sedis",NA
"ASV_4670","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae",NA,NA
"ASV_4672","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Dermoloma",NA
"ASV_4673","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys",NA
"ASV_4674","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__nigrescens"
"ASV_4677","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4678","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4679","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Lycoperdon","s__pratense"
"ASV_4680","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seiridium","s__ceratosporum"
"ASV_4684","k__Cryptista","p__Katablepharidophyta","c__Katablepharidophyta_cls_Incertae_sedis","o__Katablepharidophyta_ord_Incertae_sedis","f__Katablepharidophyta_fam_Incertae_sedis","g__Katablepharidophyta_gen_Incertae_sedis",NA
"ASV_4687","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Gymnopus","s__dryophilus"
"ASV_4688","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__gorgonicum"
"ASV_4691","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellomycetes_ord_Incertae_sedis","f__Mortierellomycetes_fam_Incertae_sedis","g__Mortierellomycetes_gen_Incertae_sedis",NA
"ASV_4693","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae",NA,NA
"ASV_4694","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_4695","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","g__Orbiliales_gen_Incertae_sedis",NA
"ASV_4696","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__prona"
"ASV_4700","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4701","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pulvinulaceae","g__Pulvinulaceae_gen_Incertae_sedis",NA
"ASV_4702","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","s__intermedia"
"ASV_4703","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"ASV_4706","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulales_fam_Incertae_sedis","g__Russulales_gen_Incertae_sedis",NA
"ASV_4707","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__intermedius"
"ASV_4708","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_4711","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_4713","k__Fungi","p__Olpidiomycota","c__Olpidiomycota_cls_Incertae_sedis","o__Olpidiomycota_ord_Incertae_sedis","f__Olpidiomycota_fam_Incertae_sedis","g__Olpidiomycota_gen_Incertae_sedis",NA
"ASV_4714","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Gelatinodiscaceae","g__Neobulgaria","s__koningiana"
"ASV_4716","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Stephanosporaceae","g__Stephanospora",NA
"ASV_4717","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__pseudoreducta"
"ASV_4719","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora",NA
"ASV_4725","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Microsphaeropsidaceae","g__Microsphaeropsidaceae_gen_Incertae_sedis",NA
"ASV_4726","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4727","k__Stramenopila","p__Ochrophyta","c__Xanthophyceae","o__Mischococcales","f__Botryochloridaceae","g__Chlorellidium",NA
"ASV_4735","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae",NA,NA
"ASV_4736","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4737","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","g__Typhula",NA
"ASV_4738","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Rutstroemia",NA
"ASV_4741","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4742","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella",NA
"ASV_4743","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"ASV_4746","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Lasionectria",NA
"ASV_4747","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe",NA
"ASV_4748","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Disciseda",NA
"ASV_4749","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus",NA
"ASV_4750","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4751","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Spirosphaera","s__cupreorufescens"
"ASV_4752","k__Fungi","p__Aphelidiomycota",NA,NA,NA,NA,NA
"ASV_4753","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__yunnanense"
"ASV_4754","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia",NA
"ASV_4756","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"ASV_4757","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium",NA
"ASV_4760","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Waitea",NA
"ASV_4761","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Ophiobolus","s__hydei"
"ASV_4762","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Biappendiculispora",NA
"ASV_4763","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia",NA
"ASV_4764","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza",NA
"ASV_4766","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__mucilaginum"
"ASV_4767","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae",NA,NA
"ASV_4769","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4772","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA
"ASV_4773","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Constantinomyces",NA
"ASV_4775","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Pholiota","s__brunnescens"
"ASV_4776","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__ninguis"
"ASV_4777","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossaceae","g__Trichoglossum",NA
"ASV_4778","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__phaeocyathus"
"ASV_4779","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris","s__corallina"
"ASV_4784","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Biappendiculispora",NA
"ASV_4785","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Phomatosporales","f__Phomatosporaceae","g__Phomatosporaceae_gen_Incertae_sedis",NA
"ASV_4787","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4788","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Sistotrema","s__hypogaeum"
"ASV_4789","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Lasionectriopsis","s__spinosa"
"ASV_4790","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Jahnulales","f__Aliquandostipitaceae","g__Xylomyces","s__aquaticus"
"ASV_4791","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__mori"
"ASV_4792","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Stephanosporaceae","g__Stephanospora",NA
"ASV_4794","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Lasiodiplodia","s__magnoliae"
"ASV_4796","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__heilongjiangensis"
"ASV_4797","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_4798","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_4801","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Mycocaliciales","f__Mycocaliciales_fam_Incertae_sedis","g__Oosporidium","s__margaritiferum"
"ASV_4803","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_4804","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales","f__Pythiogetonaceae","g__Pythiogeton",NA
"ASV_4806","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4808","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__rosigena"
"ASV_4810","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Schizothecium",NA
"ASV_4811","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4813","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4814","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe","s__salicina"
"ASV_4817","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physcia","s__aipolia"
"ASV_4820","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Miniancora",NA
"ASV_4822","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4825","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4828","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"ASV_4830","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Thaxterogaster","s__subporphyropus"
"ASV_4832","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae",NA,NA
"ASV_4833","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Kostermansinda","s__minima"
"ASV_4834","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__fusispora"
"ASV_4835","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta"
"ASV_4837","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pileolariaceae","g__Uromycladium","s__fusisporum"
"ASV_4838","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Deconica","s__crobula"
"ASV_4839","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cylindriaceae","g__Cylindrium",NA
"ASV_4840","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA
"ASV_4844","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Hyponectriaceae","g__Monographella",NA
"ASV_4853","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4857","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Stephanosporaceae","g__Lindtneria",NA
"ASV_4861","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea",NA
"ASV_4862","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"ASV_4863","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__pilosa"
"ASV_4864","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","s__bacillisporus"
"ASV_4865","k__Fungi","p__Aphelidiomycota","c__Aphelidiomycetes","o__Aphelidiales","f__Aphelidiales_fam_Incertae_sedis","g__Paraphelidium",NA
"ASV_4866","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula",NA
"ASV_4867","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4868","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4870","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4871","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4872","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Cistella",NA
"ASV_4875","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__trivialis"
"ASV_4876","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_4878","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA
"ASV_4882","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Lacrymaria","s__lacrymabunda"
"ASV_4884","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV_4886","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae",NA,NA
"ASV_4887","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,NA,NA
"ASV_4888","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4889","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucorales_fam_Incertae_sedis","g__Mucorales_gen_Incertae_sedis",NA
"ASV_4890","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia",NA
"ASV_4891","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Gastrosporiaceae","g__Gastrosporium","s__gossypinum"
"ASV_4892","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormurispora",NA
"ASV_4893","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"ASV_4895","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Aphanoascus",NA
"ASV_4896","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__americana"
"ASV_4897","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4902","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","s__dentatus"
"ASV_4903","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_4904","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula",NA
"ASV_4905","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiales","f__Blastocladiales_fam_Incertae_sedis","g__Blastocladiales_gen_Incertae_sedis",NA
"ASV_4906","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4907","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_4908","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeriaceae_gen_Incertae_sedis",NA
"ASV_4909","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Pseudoanungitea",NA
"ASV_4912","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV_4913","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4916","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Neocladophialophora","s__quercina"
"ASV_4917","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Asterinales","f__Asterinales_fam_Incertae_sedis","g__Asterinales_gen_Incertae_sedis",NA
"ASV_4918","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__rickeniana"
"ASV_4919","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae",NA,NA
"ASV_4921","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe","s__mandshurica"
"ASV_4922","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales","f__Geoglossaceae","g__Geoglossum","s__vleugelianum"
"ASV_4924","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulales_fam_Incertae_sedis","g__Russulales_gen_Incertae_sedis",NA
"ASV_4925","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__poagena"
"ASV_4926","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__nodorum"
"ASV_4927","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4930","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Pilidium",NA
"ASV_4931","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Chlorellales","f__Oocystaceae","g__Chloroidium","s__ellipsoideum"
"ASV_4933","k__Fungi","p__Kickxellomycota","c__Kickxellomycota_cls_Incertae_sedis","o__Kickxellomycota_ord_Incertae_sedis","f__Kickxellomycota_fam_Incertae_sedis","g__Kickxellomycota_gen_Incertae_sedis",NA
"ASV_4935","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__rishikesha"
"ASV_4937","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Melanophyllum","s__haematospermum"
"ASV_4938","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_4941","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","s__arnaudii"
"ASV_4942","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__versiformis"
"ASV_4943","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4944","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_4946","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Zopfiella","s__lundqvistii"
"ASV_4948","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4950","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis",NA
"ASV_4952","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_4953","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Microdochium",NA
"ASV_4956","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"ASV_4958","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_4961","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Gyrothrix","s__circinata"
"ASV_4962","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chrysanthemicola"
"ASV_4963","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma",NA
"ASV_4964","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Coleophoma",NA
